question,long_question
happening,Do you think that global warming is happening?
cause,"Assuming global warming is happening, do you think it is…"
worry,How worried are you about global warming?
regulate_CO2,Regulate carbon dioxide (the primary greenhouse gas) as a pollutant
fund_research,"Fund more research into renewable energy sources, such as solar and wind power"
political_party,"Generally speaking, do you think of yourself as..."
educ,What is the highest level of education you have completed?
